tipo_cruzamento,cidade,radar_leman_id,radar_leman_area_m2,radar_leman_link,concorrencia_agencia,concorrencia_url,concorrencia_area_m2,diferenca_area_pct,divisoes_compativeis,radar_leman_endereco,radar_leman_surface_m2,radar_leman_surface_terrain_m2,radar_leman_nb_pieces,concorrencia_superficie_m2,concorrencia_superficie_terreno_m2,concorrencia_num_divisoes,diferenca_habitavel_pct,diferenca_terreno_pct,bate_por
terreno_livre,Évian-les-Bains,74119000AV0025,1466.0,"https://www.google.com/maps?q=46.387469,6.572637",CENTURY 21 Chablais Léman Évian,https://www.century21-chablais-leman-evian.com/trouver_logement/detail/15219684997/,1458.0,0.55,,,,,,,,,,,
terreno_livre,Évian-les-Bains,74119000AO0187,1310.0,"https://www.google.com/maps?q=46.393096,6.587572",CENTURY 21 Chablais Léman Évian,https://www.century21-chablais-leman-evian.com/trouver_logement/detail/15274098956/,1300.0,0.76,,,,,,,,,,,
terreno_livre,Évian-les-Bains,74119000AV0117,1309.0,"https://www.google.com/maps?q=46.390724,6.575532",CENTURY 21 Chablais Léman Évian,https://www.century21-chablais-leman-evian.com/trouver_logement/detail/15274098956/,1300.0,0.69,,,,,,,,,,,
terreno_livre,Évian-les-Bains,74119000AL0419,1297.0,"https://www.google.com/maps?q=46.400059,6.603309",CENTURY 21 Chablais Léman Évian,https://www.century21-chablais-leman-evian.com/trouver_logement/detail/15274098956/,1300.0,0.23,,,,,,,,,,,
terreno_livre,Évian-les-Bains,74119000AP0633,1296.0,"https://www.google.com/maps?q=46.391342,6.583936",CENTURY 21 Chablais Léman Évian,https://www.century21-chablais-leman-evian.com/trouver_logement/detail/15274098956/,1300.0,0.31,,,,,,,,,,,
terreno_livre,Thonon-les-Bains,74281000BL0238,1010.0,"https://www.google.com/maps?q=46.366295,6.452910",CENTURY 21 Chablais-Léman Thonon,https://www.century21-chablais-leman-thonon.com/trouver_logement/detail/12561492259/,1000.0,0.99,,,,,,,,,,,
terreno_livre,Thonon-les-Bains,742810000I0028,1008.0,"https://www.google.com/maps?q=46.369423,6.472233",CENTURY 21 Chablais-Léman Thonon,https://www.century21-chablais-leman-thonon.com/trouver_logement/detail/12561492259/,1000.0,0.79,,,,,,,,,,,
terreno_livre,Thonon-les-Bains,74281000AE0130,1006.0,"https://www.google.com/maps?q=46.404362,6.510817",CENTURY 21 Chablais-Léman Thonon,https://www.century21-chablais-leman-thonon.com/trouver_logement/detail/12561492259/,1000.0,0.6,,,,,,,,,,,
terreno_livre,Thonon-les-Bains,74281000BM0493,1006.0,"https://www.google.com/maps?q=46.364987,6.456665",CENTURY 21 Chablais-Léman Thonon,https://www.century21-chablais-leman-thonon.com/trouver_logement/detail/12561492259/,1000.0,0.6,,,,,,,,,,,
terreno_livre,Thonon-les-Bains,74281000BL0228,1005.0,"https://www.google.com/maps?q=46.366409,6.453577",CENTURY 21 Chablais-Léman Thonon,https://www.century21-chablais-leman-thonon.com/trouver_logement/detail/12561492259/,1000.0,0.5,,,,,,,,,,,
terreno_livre,Thonon-les-Bains,74281000BN0029,1000.0,"https://www.google.com/maps?q=46.366894,6.467811",CENTURY 21 Chablais-Léman Thonon,https://www.century21-chablais-leman-thonon.com/trouver_logement/detail/12561492259/,1000.0,0.0,,,,,,,,,,,
terreno_livre,Thonon-les-Bains,74281000AN0271,1000.0,"https://www.google.com/maps?q=46.366319,6.495950",CENTURY 21 Chablais-Léman Thonon,https://www.century21-chablais-leman-thonon.com/trouver_logement/detail/12561492259/,1000.0,0.0,,,,,,,,,,,
terreno_livre,Thonon-les-Bains,742810000X0319,1000.0,"https://www.google.com/maps?q=46.376311,6.495765",CENTURY 21 Chablais-Léman Thonon,https://www.century21-chablais-leman-thonon.com/trouver_logement/detail/12561492259/,1000.0,0.0,,,,,,,,,,,
terreno_livre,Thonon-les-Bains,74281000AS0276,977.0,"https://www.google.com/maps?q=46.359560,6.484227",CENTURY 21 Chablais-Léman Thonon,https://www.century21-chablais-leman-thonon.com/trouver_logement/detail/12405372287/,971.0,0.61,,,,,,,,,,,
terreno_livre,Thonon-les-Bains,74281000AN0247,974.0,"https://www.google.com/maps?q=46.364135,6.494120",CENTURY 21 Chablais-Léman Thonon,https://www.century21-chablais-leman-thonon.com/trouver_logement/detail/12405372287/,971.0,0.31,,,,,,,,,,,
terreno_livre,Thonon-les-Bains,74281000BI0307,972.0,"https://www.google.com/maps?q=46.356826,6.455610",CENTURY 21 Chablais-Léman Thonon,https://www.century21-chablais-leman-thonon.com/trouver_logement/detail/12405372287/,971.0,0.1,,,,,,,,,,,
terreno_livre,Thonon-les-Bains,742810000Y0340,964.0,"https://www.google.com/maps?q=46.383060,6.493466",CENTURY 21 Chablais-Léman Thonon,https://www.century21-chablais-leman-thonon.com/trouver_logement/detail/12405372287/,971.0,0.72,,,,,,,,,,,
terreno_livre,Thonon-les-Bains,74281000AF0551,961.0,"https://www.google.com/maps?q=46.393532,6.504775",CENTURY 21 Chablais-Léman Thonon,https://www.century21-chablais-leman-thonon.com/trouver_logement/detail/13161135686/,953.0,0.83,,,,,,,,,,,
terreno_livre,Thonon-les-Bains,74281000AR0055,954.0,"https://www.google.com/maps?q=46.359565,6.493340",CENTURY 21 Chablais-Léman Thonon,https://www.century21-chablais-leman-thonon.com/trouver_logement/detail/13161135686/,953.0,0.1,,,,,,,,,,,
terreno_livre,Thonon-les-Bains,74281000BD0282,953.0,"https://www.google.com/maps?q=46.360140,6.458401",CENTURY 21 Chablais-Léman Thonon,https://www.century21-chablais-leman-thonon.com/trouver_logement/detail/13161135686/,953.0,0.0,,,,,,,,,,,
terreno_livre,Thonon-les-Bains,742810000E0036,950.0,"https://www.google.com/maps?q=46.375589,6.481374",CENTURY 21 Chablais-Léman Thonon,https://www.century21-chablais-leman-thonon.com/trouver_logement/detail/13161135686/,953.0,0.31,,,,,,,,,,,
terreno_livre,Thonon-les-Bains,74281000AK0662,950.0,"https://www.google.com/maps?q=46.368823,6.499012",CENTURY 21 Chablais-Léman Thonon,https://www.century21-chablais-leman-thonon.com/trouver_logement/detail/13161135686/,953.0,0.31,,,,,,,,,,,
terreno_livre,Thonon-les-Bains,742810000B0211,948.0,"https://www.google.com/maps?q=46.374192,6.472962",CENTURY 21 Chablais-Léman Thonon,https://www.century21-chablais-leman-thonon.com/trouver_logement/detail/13161135686/,953.0,0.52,,,,,,,,,,,
